Id,Response
20079,0
20081,0
20082,0
20083,0
20084,0
20085,0
20086,0
20087,0
20089,0
20090,0
20092,0
20093,0
20098,0
20103,0
20104,0
20105,0
20109,0
20111,0
20115,0
20116,0
20117,0
20118,0
20119,0
20122,0
20123,0
20124,0
20126,0
20127,0
20128,0
20129,0
20131,0
20132,0
20133,0
20137,0
20144,0
20146,0
20147,0
20148,0
20150,0
20154,0
20155,0
20156,0
20163,0
20165,0
20169,0
20171,0
20173,0
20174,0
20175,0
20176,0
20177,0
20179,0
20180,0
20183,0
20184,0
20186,0
20187,0
20190,0
20191,0
20192,0
20194,0
20198,0
20200,0
20202,0
20203,0
20204,0
20206,0
20207,0
20211,0
20214,0
20218,0
20219,0
20220,0
20223,0
20226,0
20228,0
20229,0
20230,0
20233,0
20235,0
20245,0
20248,0
20250,0
20252,0
20254,0
20255,0
20256,0
20262,0
20263,0
20264,0
20265,0
20266,0
20269,0
20270,0
20271,0
20272,0
20273,0
20274,0
20276,0
20277,0
20278,0
20279,0
20280,0
20283,0
20284,0
20285,0
20286,0
20287,0
20288,0
20290,0
20292,0
20293,0
20295,0
20300,0
20301,0
20302,0
20303,0
20304,0
20306,0
20308,0
20309,0
20316,0
20318,0
20321,0
20322,0
20323,0
20325,0
20327,0
20331,0
20334,0
20337,0
20342,0
20343,0
20344,0
20345,0
20346,0
20347,0
20349,0
20353,0
20356,0
20358,0
20359,0
20360,0
20364,0
20365,0
20367,0
20371,0
20372,0
20373,0
20374,0
20375,0
20380,0
20389,0
20390,0
20391,0
20397,0
20398,0
20399,0
20401,0
20403,0
20405,0
20407,0
20408,0
20409,0
20411,0
20413,0
20414,0
20416,0
20425,0
20428,0
20433,0
20437,0
20441,0
20442,0
20443,0
20444,0
20447,0
20449,0
20450,0
20451,0
20453,0
20456,0
20464,0
20469,0
20470,0
20474,0
20475,0
20476,0
20477,0
20478,0
20479,0
20480,0
20481,0
20483,0
20485,0
20488,0
20490,0
20491,0
20493,0
20494,0
20495,0
20500,0
20502,0
20503,0
20510,0
20512,0
20513,0
20515,0
20522,0
20526,0
20527,0
20531,0
20532,0
20533,0
20534,0
20536,0
20539,0
20541,0
20543,0
20548,0
20550,0
20551,0
20555,0
20556,0
20557,0
20559,0
20560,0
20567,0
20570,0
20576,0
20577,0
20579,0
20580,0
20582,0
20583,0
20585,0
20586,0
20588,0
20590,0
20593,0
20594,0
20596,0
20600,0
20601,0
20602,0
20603,0
20606,0
20607,0
20610,0
20614,0
20615,0
20618,0
20621,0
20622,0
20627,0
20628,0
20631,0
20632,0
20634,0
20635,0
20637,0
20640,0
20645,0
20647,0
20652,0
20653,0
20654,0
20655,0
20658,0
20659,0
20660,0
20663,0
20665,0
20667,0
20669,0
20671,0
20673,0
20674,0
20677,0
20680,0
20683,0
20685,0
20688,0
20689,0
20695,0
20696,0
20697,0
20698,0
20703,0
20706,0
20707,0
20711,0
20712,0
20713,0
20716,0
20717,0
20718,0
20719,0
20723,0
20725,0
20727,0
20728,0
20729,0
20730,0
20732,0
20734,0
20735,0
20736,0
20740,0
20741,0
20742,0
20743,0
20746,0
20747,0
20750,0
20752,0
20753,0
20754,0
20756,0
20758,0
20761,0
20762,0
20765,0
20766,0
20767,0
20769,0
20770,0
20771,0
20773,0
20774,0
20775,0
20778,0
20780,0
20781,0
20784,0
20785,0
20789,0
20790,0
20791,0
20792,0
20793,0
20794,0
20797,0
20799,0
20800,0
20801,0
20802,0
20803,0
20805,0
20807,0
20808,0
20814,0
20815,0
20816,0
20819,0
20820,0
20821,0
20825,0
20826,0
20830,0
20831,0
20834,0
20836,0
20839,0
20840,0
20850,0
20851,0
20853,0
20854,0
20857,0
20860,0
20861,0
20865,0
20867,0
20868,0
20871,0
20872,0
20873,0
20875,0
20876,0
20877,0
20879,0
20882,0
20883,0
20884,0
20885,0
20887,0
20888,0
20890,0
20891,0
20892,0
20894,0
20897,0
20898,0
20900,0
20901,0
20902,0
20906,0
20907,0
20914,0
20916,0
20917,0
20918,0
20921,0
20922,0
20923,0
20924,0
20927,0
20929,0
20930,0
20937,0
20939,0
20940,0
20944,0
20945,0
20947,0
20951,0
20952,0
20953,0
20954,0
20955,0
20958,0
20959,0
20961,0
20963,0
20965,0
20966,0
20969,0
20972,0
20973,0
20975,0
20977,0
20978,0
20979,0
20980,0
20981,0
20983,0
20984,0
20986,0
20988,0
20989,0
20990,0
20994,0
20995,0
20996,0
20998,0
21000,0
21001,0
21002,0
21003,0
21005,0
21006,0
21007,0
21008,0
21010,0
21012,0
21014,0
21016,0
21017,0
21019,0
21020,0
21021,0
21022,0
21024,0
21029,0
21030,0
21032,0
21033,0
21037,0
21042,0
21047,0
21048,0
21049,0
21050,0
21052,0
21053,0
21055,0
21056,0
21057,0
21059,0
21062,0
21063,0
21064,0
21069,0
21070,0
21071,0
21072,0
21073,0
21075,0
21077,0
21080,0
21081,0
21082,0
21083,0
21087,0
21088,0
21091,0
21093,0
21098,0
21101,0
21103,0
21108,0
21112,0
21114,0
21116,0
21118,0
21119,0
21120,0
21122,0
21123,0
21125,0
21126,0
21129,0
21132,0
21141,0
21143,0
21144,0
21148,0
21152,0
21154,0
21155,0
21156,0
21160,0
21163,0
21164,0
21165,0
21166,0
21170,0
21173,0
21176,0
21177,0
21178,0
21180,0
21181,0
21183,0
21185,0
21187,0
21189,0
21190,0
21191,0
21192,0
21193,0
21194,0
21195,0
21197,0
21198,0
21199,0
21201,0
21203,0
21204,0
21205,0
21210,0
21211,0
21214,0
21215,0
21216,0
21217,0
21219,0
21224,0
21226,0
21229,0
21231,0
21233,0
21234,0
21235,0
21240,0
21241,0
21244,0
21245,0
21247,0
21248,0
21249,0
21251,0
21252,0
21254,0
21255,0
21256,0
21260,0
21266,0
21269,0
21271,0
21274,0
21277,0
21279,0
21282,0
21283,0
21285,0
21286,0
21287,0
21288,0
21292,0
21293,0
21295,0
21296,0
21299,0
21300,0
21301,0
21302,0
21306,0
21307,0
21308,0
21309,0
21310,0
21314,0
21315,0
21316,0
21317,0
21319,0
21323,0
21326,0
21327,0
21328,0
21330,0
21331,0
21336,0
21337,0
21338,0
21340,0
21348,0
21351,0
21355,0
21356,0
21357,0
21358,0
21359,0
21361,0
21363,0
21368,0
21369,0
21370,0
21371,0
21373,0
21374,0
21375,0
21376,0
21378,0
21380,0
21382,0
21386,0
21387,0
21390,0
21393,0
21398,0
21400,0
21402,0
21404,0
21409,0
21412,0
21414,0
21417,0
21418,0
21419,0
21421,0
21422,0
21426,0
21427,0
21428,0
21431,0
21432,0
21433,0
21434,0
21435,0
21436,0
21437,0
21438,0
21439,0
21440,0
21442,0
21444,0
21446,0
21447,0
21448,0
21454,0
21455,0
21456,0
21459,0
21460,0
21461,0
21463,0
21464,0
21466,0
21469,0
21473,0
21474,0
21475,0
21478,0
21479,0
21480,0
21481,0
21484,0
21487,0
21493,0
21494,0
21495,0
21500,0
21501,0
21502,0
21504,0
21505,0
21506,0
21507,0
21509,0
21511,0
21512,0
21514,0
21516,0
21517,0
21519,0
21520,0
21521,0
21523,0
21525,0
21526,0
21530,0
21533,0
21538,0
21539,0
21541,0
21542,0
21545,0
21546,0
21547,0
21548,0
21549,0
21550,0
21554,0
21555,0
21557,0
21558,0
21560,0
21561,0
21563,0
21565,0
21570,0
21571,0
21576,0
21579,0
21581,0
21583,0
21584,0
21585,0
21586,0
21588,0
21590,0
21592,0
21596,0
21597,0
21599,0
21601,0
21602,0
21604,0
21606,0
21609,0
21610,0
21617,0
21627,0
21628,0
21630,0
21631,0
21632,0
21634,0
21635,0
21636,0
21640,0
21643,0
21644,0
21645,0
21646,0
21647,0
21651,0
21654,0
21656,0
21657,0
21662,0
21663,0
21664,0
21667,0
21668,0
21669,0
21670,0
21671,0
21672,0
21673,0
21674,0
21675,0
21676,0
21678,0
21686,0
21690,0
21691,0
21692,0
21693,0
21694,0
21698,0
21702,0
21704,0
21706,0
21708,0
21709,0
21710,0
21719,0
21728,0
21730,0
21731,0
21735,0
21738,0
21740,0
21741,0
21744,0
21746,0
21749,0
21750,0
21752,0
21754,0
21756,0
21757,0
21759,0
21761,0
21762,0
21771,0
21772,0
21774,0
21775,0
21776,0
21778,0
21779,0
21781,0
21782,0
21783,0
21785,0
21786,0
21787,0
21788,0
21793,0
21795,0
21796,0
21801,0
21804,0
21807,0
21808,0
21809,0
21810,0
21812,0
21813,0
21819,0
21822,0
21825,0
21828,0
21829,0
21830,0
21831,0
21832,0
21833,0
21834,0
21835,0
21836,0
21837,0
21839,0
21842,0
21843,0
21844,0
21845,0
21847,0
21851,0
21856,0
21857,0
21859,0
21863,0
21864,0
21866,0
21868,0
21870,0
21871,0
21872,0
21875,0
21878,0
21881,0
21883,0
21885,0
21892,0
21894,0
21895,0
21896,0
21897,0
21899,0
21900,0
21903,0
21905,0
21906,0
21907,0
21912,0
21915,0
21917,0
