Id,Response
199677,0
199679,0
199680,0
199681,0
199684,0
199685,0
199686,0
199689,0
199698,0
199701,0
199702,0
199704,0
199705,0
199706,0
199708,0
199710,0
199712,0
199713,0
199714,0
199716,0
199718,0
199720,0
199725,0
199729,0
199731,0
199733,0
199735,0
199736,0
199737,0
199738,0
199739,0
199740,0
199741,0
199742,0
199745,0
199748,0
199749,0
199750,0
199752,0
199753,0
199756,0
199757,0
199758,0
199759,0
199762,0
199763,0
199764,0
199765,0
199766,0
199767,0
199769,0
199773,0
199775,0
199777,0
199780,0
199783,0
199784,0
199785,0
199786,0
199787,0
199788,0
199790,0
199792,0
199793,0
199798,0
199802,0
199803,0
199807,0
199809,0
199811,0
199813,0
199815,0
199817,0
199818,0
199819,0
199820,0
199822,0
199824,0
199825,0
199831,0
199833,0
199834,0
199835,0
199836,0
199837,0
199838,0
199839,0
199841,0
199844,0
199846,0
199848,0
199849,0
199851,0
199852,0
199853,0
199854,0
199856,0
199859,0
199861,0
199862,0
199863,0
199864,0
199868,0
199869,0
199873,0
199874,0
199875,0
199877,0
199879,0
199880,0
199883,0
199885,0
199889,0
199890,0
199891,0
199896,0
199897,0
199900,0
199903,0
199906,0
199909,0
199910,0
199915,0
199917,0
199922,0
199923,0
199924,0
199927,0
199928,0
199929,0
199930,0
199935,0
199937,0
199940,0
199944,0
199945,0
199946,0
199948,0
199949,0
199950,0
199952,0
199954,0
199956,0
199958,0
199961,0
199962,0
199964,0
199965,0
199967,0
199968,0
199969,0
199972,0
199975,0
199976,0
199978,0
199979,0
199980,0
199981,0
199982,0
199989,0
199990,0
199993,0
199994,0
199997,0
200001,0
200002,0
200004,0
200006,0
200008,0
200009,0
200010,0
200014,0
200016,0
200018,0
200020,0
200021,0
200022,0
200023,0
200024,0
200025,0
200026,0
200027,0
200029,0
200032,0
200033,0
200037,0
200039,0
200042,0
200043,0
200046,0
200047,0
200048,0
200050,0
200051,0
200052,0
200053,0
200054,0
200055,0
200057,0
200058,0
200060,0
200061,0
200062,0
200064,0
200065,0
200066,0
200067,0
200068,0
200069,0
200071,0
200072,0
200073,0
200075,0
200076,0
200077,0
200081,0
200083,0
200086,0
200093,0
200095,0
200098,0
200100,0
200101,0
200103,0
200104,0
200105,0
200108,0
200111,0
200112,0
200113,0
200116,0
200117,0
200121,0
200122,0
200123,0
200124,0
200126,0
200127,0
200129,0
200130,0
200131,0
200132,0
200133,0
200136,0
200138,0
200139,0
200140,0
200141,0
200142,0
200145,0
200146,0
200148,0
200149,0
200150,0
200151,0
200152,0
200153,0
200155,0
200156,0
200157,0
200158,0
200159,0
200164,0
200165,0
200166,0
200167,0
200171,0
200172,0
200173,0
200174,0
200184,0
200185,0
200188,0
200189,0
200190,0
200193,0
200195,0
200197,0
200198,0
200200,0
